freqs,amp,phase
10,42.5,181
11,42.5,180
12,42.4,181
14,42.4,181
16,42.4,181
18,42.4,181
20,42.4,181
23,42.4,181
26,42.4,181
29,42.4,180
33,42.4,181
37,42.4,181
42,42.4,180
48,42.4,180
54,42.4,184
61,42.4,184
69,42.4,183
78,42.4,183
88,42.4,183
100,42.4,182
100,42.4,182
112,42.4,182
127,42.4,182
143,42.4,181
162,42.4,181
183,42.4,181
206,42.4,181
233,42.4,181
263,42.4,181
297,42.4,181
335,42.4,181
379,42.4,181
428,42.4,181
483,42.4,181
545,42.4,182
615,42.4,179
695,42.4,181
784,42.4,181
885,42.4,180
1000,42.4,183
1000,42.4,180
1128,42.4,179
1274,42.3,177
1438,42.4,178
1623,42.3,177
1832,42.3,181
2069,42.4,180
2335,42.4,179
2636,42.5,177
2976,42.3,177
3359,42.4,179
3792,42.3,178
4281,42.4,174
4832,42.4,178
5455,42.4,176
6158,42.5,181
6951,42.4,175
7847,42.4,184
8858,42.1,172
10000,42.2,174
10000,42.3,171
11288,42.2,175
12742,42.4,174
14384,42.2,174
16237,42,171
18329,41.9,172
20691,42.2,156
23357,42.2,158
26366,42.3,167
29763,42,159
33598,42.1,158
37926,42,155
42813,41.7,162
48329,41.9,157
54555,41.8,158
61584,41.6,151
69519,41.6,146
78475,41.3,129
100000,40.7,134
100000,40.9,156
145000,39.6,120
190000,38,101
280000,34.6,83
325000,33,69
370000,31.9,64
415000,30.4,50
505000,28,6
550000,26.9,30
640000,23.9,29
685000,23.4,44
730000,22,27
775000,21.6,18
820000,20.3,41
865000,19.6,6
955000,16.4,15
